Developer_ID,Developer_Name,Team,Experience_Years,Country,Repository,Language,Stars,Forks,Watchers,Open_Issues,Closed_Issues,Pull_Requests,Merged_PRs,Commit_Date,Commit_Time,Files_Changed,Lines_Added,Lines_Deleted,Coding_Hours,Bugs_Introduced,Bugs_Fixed,Code_Review_Time_Hours,Build_Status,CI_Failures,Weekend_Commit,Night_Commit,Sprint,Repo_Size_MB,License
D0135,Alex,Platform,,India,Atlas,TypeScript,999999,209,1739,68,754,192,107,20/01/2025,8PM,27,2877,482,9.8,26,18,32.2,Success,1,No,No,Sprint-8,2036.7,Apache-2.0
D0335,Sam,Backend,,Germany,Atlas,Java,-5,609,3966,4,489,227,496,2025-04-26,8PM,61,1134,949,6.8,30,24,48.5, ,8,Yes,Yes,Sprint-9,2574.6,Apache-2.0
D0116,Chris,Platform,,USA,Nova,Python,999999,616,1283,24,885,463,187,28/05/2025,8PM,91,1746,514,8.7,29,19,39.9,Success,1,Yes,No,Sprint-6,769.6,GPL
D0474, ,Backend,,Germany,Nova,TypeScript,999999,898,2870,32,512,266,171,27/01/2024,00:00,99,1536,1485,10.0,11,11,56.4, ,0,Yes,Yes,Sprint-12,3867.6,GPL
D0342,Alex,DevOps,12.0,Germany,Nova,Go,-5,158,5898,200,599,256,301,02/01/2023,8PM,4,2713,2384,11.1,19,0,18.2,Success,8,No,No,Sprint-6,4339.2,Apache-2.0
D0020,Taylor,Frontend,5.8,USA,Forge,Go,999999,60,476,151,220,49,327,2024-04-07,8PM,71,61,824,0.5,2,27,64.2,Success,3,Yes,Yes,Sprint-7,4909.5,
D0563,Sam,AI,2.6,USA,Atlas,Rust,999999,644,3208,27,431,146,129,26/12/2024,8PM,61,3910,541,13.1,1,12,69.4, ,5,Yes,No,Sprint-2,4028.6,
D0011,Alex,DevOps,9.9,Germany,Atlas,Rust,1548,155,2471,99,834,89,334,2024-07-08,25:61,38,176,671,4.9,9,25,14.0,FAIL,2,No,Yes,Sprint-11,386.4,MIT
D0433, ,AI,,USA,Atlas,pyhton,-5,641,2552,90,767,61,281,25/12/2023,25:61,60,3013,647,3.4,18,10,70.1, ,3,Yes,No,Sprint-12,4097.9,MIT
D0176,Sam,DevOps,,India,Nova,TypeScript,999999,404,3108,128,165,423,327,2024-10-31,00:00,68,4403,1461,0.5,8,24,57.2,Failed,5,No,No,Sprint-7,4021.7,Apache-2.0
D0658,Taylor,Frontend,4.2,India,Atlas,Python,999999,717,4254,150,732,161,194,18/01/2025,25:61,1,348,1630,1.4,16,12,39.8,FAIL,6,Yes,Yes,Sprint-4,1323.7,
D0127,Chris,DevOps,,India,Nova,pyhton,-5,559,5622,197,142,138,28,2023-06-07,25:61,73,4404,1937,1.1,25,10,5.0,FAIL,9,No,Yes,Sprint-1,1840.1,MIT
D0163,Alex,Backend,,Germany,Atlas,,-5,936,5184,157,671,299,265,2024-08-10,25:61,41,3375,2940,4.4,21,19,26.0,Failed,1,Yes,No,Sprint-3,1369.7,Apache-2.0
D0354,Chris,AI,,Germany,Forge,Go,2184,297,4129,28,910,220,378,11/02/2023,25:61,3,895,2466,12.7,12,27,38.5,Success,6,No,No,Sprint-12,2930.4,MIT
D0652,Sam,Backend,,USA,Forge,Java,894,484,2204,0,934,154,350,26/04/2025,00:00,16,4742,312,10.4,6,30,60.1,Success,5,Yes,Yes,Sprint-6,2684.2,
D0133,Alex,DevOps,1.4,India,Nova,pyhton,863,935,2812,38,162,240,453,2024-08-22,8PM,69,2760,338,0.9,11,8,71.9, ,6,No,No,Sprint-3,2174.0,MIT
D0284,Sam,DevOps,10.3,USA,Atlas,Go,999999,102,1441,183,941,233,28,2024-06-07,25:61,66,1524,2686,6.9,13,19,17.4,Success,1,No,No,Sprint-4,2793.0,MIT
D0612,Sam,Platform,14.7,India,Atlas,,999999,128,1811,139,899,121,140,28/04/2023,8PM,10,1511,846,2.8,21,21,28.0,Failed,0,No,No,Sprint-7,4515.5,Apache-2.0
D0010,Sam,Platform,,Germany,Atlas,Go,3604,113,3678,0,888,16,367,2023-04-05,25:61,79,4274,2441,0.6,8,4,37.6, ,10,No,Yes,Sprint-3,2099.2,GPL
D0454,Taylor,Backend,9.0,USA,Forge,,-5,219,5353,146,727,178,16,20/10/2023,8PM,18,1392,2617,11.2,19,24,49.9, ,2,No,No,Sprint-5,1312.9,MIT
D0186,Taylor,Frontend,,India,Nova,Rust,638,671,5386,19,477,317,382,2024-07-02,25:61,92,4145,2323,12.0,11,19,34.0,FAIL,10,No,No,Sprint-2,3766.8,
D0632,Chris,DevOps,,Germany,Nova,Java,-5,811,5919,151,240,372,184,2025-02-08,8PM,25,4359,1553,0.1,30,0,43.7,Success,4,Yes,Yes,Sprint-1,4747.1,MIT
D0456,Chris,Frontend,,Germany,Forge,python,2940,583,5175,28,264,300,426,2023-10-04,00:00,54,706,1382,5.1,12,3,61.1,FAIL,4,Yes,No,Sprint-1,3046.4,MIT
D0147, ,Backend,3.1,Germany,Nova,,999999,311,3398,187,142,489,363,2025-03-01,25:61,84,2875,2412,3.0,0,0,23.3,Failed,2,Yes,No,Sprint-1,4848.0,GPL
D0276,Taylor,Backend,7.1,USA,Nova, PYTHON,999999,292,2757,46,609,38,68,2024-07-22,8PM,8,2811,58,9.8,2,21,13.3,Success,0,Yes,Yes,Sprint-10,959.0,MIT
